CAT;IMP_0097_3;29/05/2014;01/01/2010;BEC;Swift Fileact;10000000050;Integrado;Finalizado;KO;00000124.TIN;Órdenes pago internacionales en fichero;Ángel;00000124.TIN (cuenta no válida)
CEMEX;IMP_0081_490;11/03/2014;01/01/2010;CIB;Swift Fileact;10000000045;Producción;Cancelado;;;Nóminas 34.14;Ana;
CEMEX;IMP_0081_490;18/03/2014;01/01/2010;CIB;Swift Fileact;10000000045;Producción;Cancelado;;;Nóminas 34.14;Ana;
CEMEX;IMP_0081_490;06/02/2014;01/01/2010;CIB;Swift Fileact;10000000045;Producción;Finalizado;KO;31000771.NOM;Nóminas 34.14;Ana;31000771.NOM (no se ha mapeado)
CEMEX;IMP_0081_490;06/02/2014;01/01/2010;CIB;Swift Fileact;10000000045;Producción;Finalizado;OK;31000773.FIM;Nóminas 34.14;Ana;31000773.FIM
CPW (CARPHONE WAREHOUSE);;05/03/2014;01/01/2010;BEC;Swift Fileact;10000000120;Integrado;Finalizado;OK;00000005.FIT;Transferencias 34.14;Alba;00000005.FIT (Fecha de ejecución: 08/03/2014)
CPW (CARPHONE WAREHOUSE);;05/03/2014;01/01/2010;BEC;Swift Fileact;10000000120;Integrado;Finalizado;OK;00000007.FIT;Transferencias 34.14;Alba;00000007.FIT (Fecha de ejecución: 08/03/2014)
CPW (CARPHONE WAREHOUSE);IMP_0011_67;10/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;OK;;MT101;Cliente;
CPW (CARPHONE WAREHOUSE);IMP_0011_67;10/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;OK;;MT101;Cliente;
CPW (CARPHONE WAREHOUSE);IMP_0011_67;10/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;OK;;MT101;Cliente;
CPW (CARPHONE WAREHOUSE);IMP_0011_67;20/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;KO;;MT101;Cliente;Cuenta ordenante con IBAN incorrecto. Problemas con los IBAN de 2 cuentas, el cliente los envía incorrectos porque se han reflejado incorrectamente en el SCORE, se modifica SCORE y se comunica rectificación al cliente.
CPW (CARPHONE WAREHOUSE);IMP_0011_67;20/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;KO;;MT101;Cliente;Cuenta ordenante con IBAN incorrecto. Problemas con los IBAN de 2 cuentas, el cliente los envía incorrectos porque se han reflejado incorrectamente en el SCORE, se modifica SCORE y se comunica rectificación al cliente.
CPW (CARPHONE WAREHOUSE);IMP_0011_67;20/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;OK;;MT101;Cliente;Pendiente por saldo insuficiente. Se cancela. Ok hasta la validación telemática, pero se cancela con el consentimiento del cliente.
CPW (CARPHONE WAREHOUSE);IMP_0011_67;21/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;OK;;MT101;Cliente;
CPW (CARPHONE WAREHOUSE);IMP_0011_67;22/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;OK;;MT101;Cliente;Mismo pago de la orden rechazada, ahora con cuenta correcta
CPW (CARPHONE WAREHOUSE);IMP_0011_67;22/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;OK;;MT101;Cliente;Mismo pago de la orden rechazada, ahora con cuenta correcta
CPW (CARPHONE WAREHOUSE);IMP_0011_67;22/10/2014;01/01/2010;BEC;Swift FIN;BBEDGB2LXXX;Producción;Finalizado;OK;;MT101;Cliente;Mismo pago de la orden cancelada, nuevo envío, todo ok.
DECATHLON;IMP_0017_131;01/04/2014;01/01/2010;CIB;Swift Fileact;1,00E+10;Integrado;Finalizado;KO;00000011.CNR;Euroconfirming;Jose Manuel;00000011.CNR (diversos errores)
DECATHLON;IMP_0017_131;10/04/2014;01/01/2010;CIB;Swift Fileact;1,00E+10;Integrado;Finalizado;KO;00000019.CNR;Euroconfirming;Jose Manuel;00000019.CNR (errores en los registros de totales)
DECATHLON;IMP_0017_131;24/04/2014;01/01/2010;CIB;Swift Fileact;1,00E+10;Integrado;Finalizado;OK;00000021.CNR;Euroconfirming;Jose Manuel;00000021.CNR
DECATHLON;IMP_0017_131;04/03/2014;01/01/2010;CIB;Swift Fileact;10000000088;Integrado;Finalizado;KO;00000011.CNR;Euroconfirming;Jose Manuel;00000011.CNR (Errores: faltan datos, secuencia incorrecta, número de registros, importes)
DECATHLON;IMP_0017_131;09/04/2014;01/01/2010;CIB;Swift Fileact;1,00E+10;Integrado;Finalizado;KO;00000019.CNR;Euroconfirming;Jose Manuel;00000019.CNR (errores en los registros de totales)
DECATHLON;IMP_0017_132;10/10/2014;01/01/2010;CIB;Swift Fileact;10000000132;Producción;Finalizado;OK;00000129.FIT;Transferencias 34.14;JM;00000129.FIT (se realiza el seguimiento ya que tenian dudas con las fechas)
DECATHLON;IMP_0017_132;04/03/2014;01/01/2010;CIB;Swift Fileact;10000000088;Integrado;Finalizado;OK;00000010.FIT;Transferencias 34.14;Jose Manuel;00000010.FIT
DECATHLON;IMP_0017_132;05/03/2014;01/01/2010;CIB;Swift Fileact;10000000088;Integrado;Finalizado;OK;0000000013.FIT;Transferencias 34.14;Jose Manuel;0000000013.FIT
DELL;IMP_0142_592;03/02/2015;01/01/2010;CIB;Swift FIN;;Integrado;Finalizado;OK;;MT101;Pedro Cabezas;pago doméstico. Enviado por el cliente vía mail.
DELL;IMP_0142_592;03/02/2015;01/01/2010;CIB;Swift FIN;;Integrado;Finalizado;OK;;MT101;Pedro Cabezas;pago a US. Enviado por el cliente vía mail.
EADS;IMP_0003_550;12/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Cancelado;;;Transferencias 34.14;Cristina;
EADS;IMP_0003_550;12/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Cancelado;;;Transferencias 34.14;Cristina;
EADS;IMP_0003_550;12/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Cancelado;;;Transferencias 34.14;Cristina;
EADS;IMP_0003_550;16/07/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000042.FIT;Transferencias 34.14;Cristina;20000042.FIT
EADS;IMP_0003_550;17/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000091.FIT;Transferencias 34.14;Cristina;20000091.FIT
EADS;IMP_0003_550;17/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000092.FIT;Transferencias 34.14;Cristina;20000092.FIT
EADS;IMP_0003_550;18/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Cancelado;;;Transferencias 34.14;Cristina;
EADS;IMP_0003_550;22/10/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000052.FIT;Transferencias 34.14;Cristina;20000052.FIT Prueba con etiqueta Batch Booking = FALSE (se han realizado los cargos por separado en la cuenta del cliente)
EADS;IMP_0003_550;23/10/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000054.FIT;Transferencias 34.14;Cristina;20000054.FIT Prueba con etiqueta Batch Booking = FALSE (se han realizado los cargos por separado en la cuenta del cliente)
EADS;IMP_0003_550;25/07/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000046.FIT;Transferencias 34.14;Cristina;20000046.FIT
EADS;IMP_0003_550;25/07/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000047.FIT;Transferencias 34.14;Cristina;20000047.FIT (fecha ejecución: 29/07/2014) Cragado en cuenta con fecha valor y operación 29/07.
EADS;IMP_0003_550;27/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000117.FIT;Transferencias 34.14;Cristina;20000117.FIT
EADS;IMP_0003_550;27/11/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000163.FIT;Transferencias 34.14;Cristina;20000163.FIT
EADS;IMP_0003_550;27/11/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000164.FIT;Transferencias 34.14;Cristina;20000164.FIT
