RIUSA;IMP_0018_153;02/12/2014;01/01/2010;BEC;Swift Fileact;10000000125;Integrado;Finalizado;KO;00000200.PPG;Pagos nacionales Londres;Natalia;00000200.PPG (error en el formato de la cuenta)
SA MAJ;IMP_0008_50;18/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000009.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000009.CSP (fecha de ejecución: 25/02/2014)
SA MAJ;IMP_0008_50;18/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000010.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000010.CSP (fecha de ejecución: 25/02/2014)
SA MAJ;IMP_0008_50;21/01/2014;01/01/2010;BEC;Swift Fileact;10000000077;Integrado;Finalizado;KO;;Adeudos directos 19.14 (Sepa);Ignacio;Rechazado por formato en SSTT.
SA MAJ;IMP_0008_50;21/01/2014;01/01/2010;BEC;Swift Fileact;10000000077;Integrado;Finalizado;KO;00000034.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000034.CSP. Autorizado. Más de un adeudo con la misma referencia.
SA MAJ;IMP_0008_50;21/01/2014;01/01/2010;BEC;Swift Fileact;10000000077;Integrado;Finalizado;KO;00000035.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000035.CSP. Autorizado. Más de un adeudo con la misma referencia.
SA MAJ;IMP_0008_50;21/01/2014;01/01/2010;BEC;Swift Fileact;10000000077;Integrado;Finalizado;KO;00000032.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000032.CSP. Autorizado y cedido. Más de un adeudo con la misma referencia.
SA MAJ;IMP_0008_50;21/01/2014;01/01/2010;BEC;Swift Fileact;10000000077;Integrado;Finalizado;OK;00000031.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000031.CSP. Autorizado y cedido
SA MAJ;IMP_0008_50;25/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000017.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000017.CSP (fecha de ejecución: 05/03/2014)
SA MAJ;IMP_0008_50;25/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000018.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000018.CSP (fecha de ejecución: 05/03/2014)
SA MAJ;IMP_0008_50;25/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000019.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000019.CSP (fecha de ejecución: 05/03/2014)
SA MAJ;IMP_0008_50;25/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000020.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000020.CSP (fecha de ejecución: 06/03/2014)
SA MAJ;IMP_0008_50;25/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000022.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000022.CSP (fecha de ejecución: 05/03/2014)
SA MAJ;IMP_0008_50;25/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000021.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000021.CSP (fecha de ejecución: 06/03/2014)
SA MAJ;IMP_0008_50;25/02/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000023.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000023.CSP (fecha de ejecución: 07/03/2014)
SA MAJ;IMP_0008_50;27/03/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Cancelado;;;Adeudos directos 19.14 (Sepa);Ignacio;
SA MAJ;IMP_0008_43;23/07/2014;01/01/2010;BEC;Swift Fileact;10000000098;Integrado;Finalizado;OK;00001772.FIT;Transferencias 34.14;Ignacio;00001772.FIT
SA MAJ;IMP_0008_43;08/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Integrado;Finalizado;KO;00000040.FIT;Transferencias 34.14;Ignacio;00000040.FIT (cuenta inexistente)
SA MAJ;IMP_0008_43;08/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Integrado;Finalizado;KO;00000047.FIT;Transferencias 34.14;Ignacio;00000047.FIT (cuenta inexistente)
SA MAJ;IMP_0008_45;11/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Integrado;Finalizado;KO;00000058.OMF;OMF Banco de España en fichero;Ignacio;00000058.OMF. Cedido el 11/04 a PRISMA sobre las 12:40, sin procesar el 14/04 a primera hora. Reclamado, PRISMA dice que no lo ha recibido. Cesión erróna desde SSTT, se ha cedido finalmente el 14/04 por la tarde. De nuevo se ha cedido erróneamente, SSTT dbe cederlo bien a PRISMA, en espera. Cambios del equipo de Proyectos SSTT para OMFs que han afectado a la cesión de los ficheros a PRISMA, lo cambiarán para que se puedan ceder los ficheros. El fichero se ha rechazado en PRISMA por fecha valor.
SA MAJ;IMP_0008_45;15/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Integrado;Finalizado;KO;00000058.OMF;OMF Banco de España en fichero;Ignacio;00000058.OMF. Intervención manual de PRISMA sobre el fichero para modifcar la fecha valor por 15/04. Se ha rechazado por la cuenta beneficiaria, banco y oficina inexistentes: 0001 5425.
SA MAJ;IMP_0008_45;16/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Integrado;Finalizado;OK;00000060.OMF;OMF Banco de España en fichero;Ignacio;00000060.OMF.Reinyección de fichero con fecha valor16/04 y cuenta beneficiaria válida. Fichero autorizado. Todo ok en PRISMA.
SA MAJ;IMP_0008_47;11/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Integrado;Finalizado;OK;00000050.TIN;Órdenes pago internacionales en fichero;Ignacio;00000050.TIN. Reclamado a COMEX.
SA MAJ;IMP_0008_47;12/05/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000519.TIN;Órdenes pago internacionales en fichero;Ignacio;00000519.TIN
SA MAJ;IMP_0008_47;16/05/2014;01/01/2010;BEC;Swift Fileact;10000000098;Producción;Finalizado;OK;00000585.FIT;Órdenes pago internacionales en fichero;Ignacio;00000585.FIT
SA MAJ;IMP_0008_47;08/04/2014;01/01/2010;BEC;Swift Fileact;1,00E+10;Integrado;Finalizado;KO;00000048.TIN;Órdenes pago internacionales en fichero;Ignacio;00000048.TIN (cuenta inexistente)
SAICA;IMP_0094_353;10/02/2015;01/01/2010;BEC;Swift Fileact;10000000057;Integrado;Finalizado;OK;04000726.FIM;Nóminas 34.14;Nacho;04000726.FIM
SAICA;IMP_0094_353;24/02/2015;01/01/2010;BEC;Swift Fileact;SAICES2ZXXX;Producción;Finalizado;OK;04006142.FIM;Nóminas 34.14;Nacho;04006142.FIM
SAICA;IMP_0094_353;09/02/2015;01/01/2010;BEC;Swift Fileact;10000000057;Integrado;Finalizado;OK;04000724.FIM;Nóminas 34.14;Nacho;04000724.FIM
SCHNEIDER;IMP_0009_600;07/01/2014;01/01/2010;CIB;Swift Fileact;10000000014;Producción;Cancelado;;;Nóminas 34.14;Sonia;El cliente informa que podrá enviar la semana del 16 de diciembre, lo pospone a enero de 2014.
SCHNEIDER;IMP_0009_598;14/01/2014;01/01/2010;CIB;Swift Fileact;10000000014;Producción;Finalizado;OK;12006170.FIT;Transferencias 34.14;Sonia;12006170.FIT (fecha de ejecución: 20/01/2014)
SCHNEIDER;IMP_0009_598;15/01/2014;01/01/2010;CIB;Swift Fileact;10000000014;Producción;Pendiente;OK;12006172.FIT;Transferencias 34.14;Sonia;12006172.FIT (fecha de ejecución: 20/01/2014)
SCHNEIDER;IMP_0009_598;07/01/2014;01/01/2010;CIB;Swift Fileact;10000000014;Producción;Cancelado;;;Transferencias 34.14;Sonia;El cliente informa que podrá enviar la semana del 16 de diciembre, lo pospone a enero de 2014.
SCHNEIDER;IMP_0009_599;15/01/2014;01/01/2010;CIB;Swift Fileact;10000000010;Integrado;Pendiente;KO;12000405.TIN;Órdenes pago internacionales en fichero;Sonia;12000405.TIN (ha llegado XML)
SCHNEIDER;IMP_0009_599;20/01/2014;01/01/2010;CIB;Swift Fileact;10000000010;Integrado;Finalizado;KO;12000409.TIN;Órdenes pago internacionales en fichero;Sonia;12000409.TIN (la cuenta no existe en integrado)
